,Unnamed: 0,id,texto,fecha
61,61,1519284697389576192,cinismo es que cada día pretendan meterle más y más presupuesto a los sectores como educación y salud  sabiendo que la solución no es esa sino saberla administrar  quieren más plata para tener que echarse más en los bolsillos ,2022-04-27 11:57:53+00:00
62,62,1519159324551135237,como debe ser 👍🏼 ,2022-04-27 03:39:42+00:00
63,63,1519112710608375809,en educación  aquí todo lo resuelven poniendo más presupuesto  pero lo que se necesita saber es quiénes son los administradores de ese presupuesto  se debe tener gente idónea  gente que genere valor  conocimiento y eficiencia de la plata  🔴 envivo en candidatosaltablero,2022-04-27 00:34:28+00:00
64,64,1519110734914981893,el gran esfuerzo que tiene que hacer el estado es darle a los muchachos oportunidades para que puedan estudiar de día y luego de que se gradúen puedan ofertar su conocimiento a la sociedad  aestahora 🔴 envivo en candidatosaltablero ,2022-04-27 00:26:37+00:00
65,65,1519072597165719554,mi propuesta para la muchachada endeudada con el icetex! 📚la plata de los lujos que le quitemos a los politiqueros servirá para pagar la deuda que tiene la muchachada con el icetex rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022juventudesconelinge ,2022-04-26 21:55:04+00:00
66,66,1518993987306201089,william ospina se vincula a mi campaña y en mi gobierno estará a cargo del ministerio de cultura y medio ambiente 🌿♻️🎭rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-26 16:42:42+00:00
67,67,1518972249277186050,nosoporto que los medios sigan tratando de convencer a la gente de que las únicas dos opciones son fico y petro  🤷🏼‍♂️ rodolfopresidente rodolfopresidente,2022-04-26 15:16:20+00:00
68,68,1518966396713066496,inicio mi agenda de trabajo en bogotá con una reunión con jóvenes empresarios  vamos a poner a producir a colombia  muchachada!💪🏻🇨🇴rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-26 14:53:04+00:00
69,69,1518935317386043392,nosoporto más que los hampones estén despilfarrando y acabando con colombia 😤 rodolfopresidente rodolfohernandez,2022-04-26 12:49:34+00:00
70,70,1518668321310265344,le está llegando la hora a los corruptos 👏🏻rodolfopresidente rodolfohernandez ,2022-04-25 19:08:37+00:00
71,71,1518654902934908928,repudio los asesinatos que se están cometiendo contra los miembros de las familias de algunos líderes rodolfistas  exijo que las autoridades investiguen y les brinden garantías de seguridad a los colombianos😠  rodolfopresidente rodolfohernandez,2022-04-25 18:15:18+00:00
72,72,1518637951210688513,colombianos! que este 29 de mayo no nos roben ni un solo voto 🇨🇴💪🏻✒️ inscríbase como testigo electoral aquí👇🏻…rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-25 17:07:57+00:00
73,73,1518613063292784640,la riqueza de colombia la han despilfarrado los politiqueros corruptos pagando sus lujos🫤😠 rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-25 15:29:03+00:00
74,74,1518588275283402752,¡colombia va a estar bien cuando sea un país sin hampones! rodolfopresidente rodolfohernandez felizlunes ,2022-04-25 13:50:33+00:00
75,75,1518245673828864003,gracias a bucaramanga y a los comerciantes de la plaza de la concordia por su recibimiento😍🤭  estos son los colombianos que verdaderamente producen y mueven la economía del país💙💛  comprometen mi gratitud!    ah! y gracias por mi juguito de guanábana 🧃🤤rodolfohernandez ,2022-04-24 15:09:10+00:00
76,76,1518196889002422273,concentran los privilegios en los mismos que hacen las leyes y traicionan los intereses del pueblo colombiano🇨🇴😒  link👇🏻👀 rodolfohernandez rodolfopresidente,2022-04-24 11:55:19+00:00
77,77,1517890849404821504,es hora de que el gobierno aclare si el general zapateiro habla por todas las ffmm cuando toma posición política electoral  o solo lo hace a cuenta propia abusando del poder que le da su uniforme rodolfohernandez rodolfopresidente,2022-04-23 15:39:14+00:00
78,78,1517875042637565953,su voto por mí es para que haya deporte  cultura y no drogadicción  su voto por mi gobierno es para que se promueva el emprendimiento y tengamos empleo en vez de pobreza 🇨🇴⚽️💪🏻 rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-23 14:36:25+00:00
79,79,1517670119115272198,fue un placer haber estado en cartagena  gracias a cada medio de comunicación que se tomó el tiempo de invitarme para charlar un rato  gracias a todas las personas que fueron a verme al debate cartageneros  comprometen mi gratitud!💛😚💙rodolfopresidente ,2022-04-23 01:02:08+00:00
80,80,1517613832524513282,"venderhumoes lo que hacen todos los candidatos en los debates: posan de ""sabelotodo"" y creen resolver el país en respuestas de 1 minuto😒  rodolfopresidente rodolfohernandez elecciones2022 ",2022-04-22 21:18:28+00:00
81,81,1517612634002051077,hoy diadelatierra duque está aprovechándose de la concentración de los colombianos en las elecciones para pasar por debajo de nuestras narices un proyecto que beneficia tributariamente al pdte  minesa y que pone en riesgo nuestro páramo de santurbán 👀con la avaricia de algunos! ,2022-04-22 21:13:42+00:00
82,82,1517601354205773824,en colombia el código de procedimiento penal  cuando son delitos contra la administración pública  es garantista para los ladrones  por eso esos procesos duran años  yo digo que hay que acabar con la impunidad y para hacerlo hay que modificar el código de procedimiento penal ,2022-04-22 20:28:53+00:00
83,83,1517600920422559747,todo lo que genere bienestar para colombia lo haremos  yo no puedo meterle violencia al fallo de la haya  yo me reuniría con el presidente de nicaragua en pro de los colombianos  aestahora en entrevista con el periódico ,2022-04-22 20:27:09+00:00
84,84,1517600593560354817,tenemos que reactivar a los campesinos  entregarles plata para que hayan cierres financieros y puedan competir con el mercado internacional  aestahora en entrevista con el periódico ,2022-04-22 20:25:51+00:00
85,85,1517600352505376768,la única manera de tener buenos salarios es activando la demanda de trabajo y el trabajo se activa sustituyendo importaciones para poner a producir aquí en colombia  aestahora en entrevista con el periódico ,2022-04-22 20:24:54+00:00
86,86,1517600108183007236,a los guerrilleros no les han cumplido y usted no le puede pedir que cumplan a quienes usted no les ha cumplido  aestahora en entrevista con el periódico ,2022-04-22 20:23:56+00:00
87,87,1517599958643482629,los colombianos necesitamos paz para poder trabajar y yo aporto mi granito de arena ofreciéndole a todos esos reverdecimientos que ha tenido la guerrilla y al ejército de liberación nacional que se pegue a lo que ya hay  hay que firmar otro sí  ,2022-04-22 20:23:20+00:00
88,88,1517595537062744064,mi propuesta para el campo 🚜👩🏻‍🌾🌾mi gobierno se concentrará en regresar al campo  vamos a sustituir importación para fortalecer la producción de nuestra tierra 💚 rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-22 20:05:46+00:00
89,89,1517575178074656768,nomas polarización  porque los problemas que tienen mal al país no son ni de derecha ni de izquierda  son de falta de trabajo  hambre  abandono  pobreza  desolación y ruina  rodolfopresidente,2022-04-22 18:44:52+00:00
90,90,1517557980111286277,recoger las chequeras que tienen todos los ladrones en el estado  es concentrar el dinero en forma transparente y eficiente para poder meterle plata a este proyecto de ‘colombia mayor’  aestahora envivo en el congresoasofondosfiap,2022-04-22 17:36:31+00:00
91,91,1517557835663564807,22 millones de colombianos muriéndose de hambre  17 viven con 2 dólares  5 millones con uno  usted qué espera de esa gente tan buena que no nos han mandado a ahorcar  porque si hay una persona como chávez en venezuela eso es una mecha corta prendida  congresoasofondosfiap,2022-04-22 17:35:57+00:00
92,92,1517557376278269952,usted cómo explica que el hijo de un campesino y de una campesina  de un pueblito de santander hoy esté sentado aquí  aestahora envivo en el congresoasofondosfiap,2022-04-22 17:34:08+00:00
93,93,1517557104323747841,cómo es posible que nos metan reformas tributarias para mantener la corrupción  aestahora envivo en el congresoasofondosfiap,2022-04-22 17:33:03+00:00
94,94,1517556935909908482,si usted inyecta plata en la base  la economía se mueve porque hay consumo  hay demanda  hay transformación  hay logística  aestahora envivo en el congresoasofondosfiap,2022-04-22 17:32:23+00:00
95,95,1517556694569693192,colombia mayor 1 7 billones de apoyo del presupuesto nacional  hay que cortar el copete  pero se necesitan son pantalones para estar allá  aestahora envivo en el congresoasofondosfiap,2022-04-22 17:31:25+00:00
96,96,1517556360405209088,40 millones para 2 1 de pensionados  pero el 70% de los 40 millones es para sostener 400 mil  son peores que hitler  concentraron los privilegios en los mismos que hacen las leyes  traicionan a los electores  aestahora envivo en el congresoasofondosfiap,2022-04-22 17:30:05+00:00
97,97,1517556115176841219,el problema es que el presidente que gane se apelota  porque llegan allá y hacen totalmente lo contrario a lo que prometieron en campaña  dicen una cosa y cuando tienen el poder que le dimos nosotros a través del voto  hacen todo completamente diferente   congresoasofondosfiap,2022-04-22 17:29:07+00:00
98,98,1517544837775597571,estoy muy emocionado! hoy me hicieron llegar este video de marco fonseca y sebastian chipatecua  unos verdaderos rodolfistas de corazón  gracias colombianos por todo el apoyo que me demuestran todos los días  será un honor para mí ser su presidente 🇨🇴 ,2022-04-22 16:44:18+00:00
99,99,1517515259489177605,colombianos los invito a que me ayuden este 29 de mayo a trancar el fraude 🇨🇴✏️ inscríbase como testigo electoral aquí: rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-22 14:46:46+00:00
100,100,1517494311998443520,venderhumoes que fico prometa como solución  lo mismo que duque prometió hace 4 años  representando a los mismos intereses que lo respaldaron a él  rodolfopresidente rodolfohernandez,2022-04-22 13:23:32+00:00
101,101,1517251021428436994,el primer paso para acelerar la economía y acabar con la pobreza es la educación  colombia no puede seguir en el atraso 🤓📚✏️ rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-21 21:16:47+00:00
102,102,1517201975888252931,los corruptos son hampones y esos también deben ir a la cárcel! la justicia debe ser efectiva para todos  no para algunos😠  rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-21 18:01:53+00:00
