,id,tweet,fecha_hora
58,1521145171664060421,el carro bomba que estalló en argelia  cauca  es una muestra más del deterioro y abandono de la paz en las regiones  rechazamos este hecho y expresamos nuestra solidaridad a los habitantes del municipio  debemos todos insistir en el camino hacia la paz  ,2022-05-02 15:10:45+00:00
59,1521124840710758400,la juventud del país será protagonista en nuestro gobierno  hoy desde la  estamos en una conversación con sus estudiantes para contarles por qué somos la mejor opción de cambio para colombia  lavueltaalcaribe  ,2022-05-02 13:49:57+00:00
60,1521098837103886337,al aire en  ,2022-05-02 12:06:38+00:00
61,1521090018764369922,hoy seguimos lavueltaalcaribe en cartagena y terminamos en sucre y córdoba  confirmamos en nuestro recorrido el apoyo de la gente en las calles y que nuestras propuestas son las que necesita colombia  seguimos firmes  💪🏽🇨🇴 ,2022-05-02 11:31:35+00:00
62,1520944899822178304,en el carmen de bolívar  arjona y turbaco escuché el mismo reclamo: el acueducto y el alcantarillado se los robaron los corruptos que siguen gobernando  ¡hay que sacarlos del poder! ¡rompamos las cadenas de la corrupción! bolívar merece un cambio  lavueltaalcaribe ,2022-05-02 01:54:56+00:00
63,1520921444947005440,🤯,2022-05-02 00:21:44+00:00
64,1520902948968181762,echando tiza en la plaza principal de arjona para dejar dos de nuestras principales propuestas: la educación como revolución y nuestra lucha contra la corrupción  lavueltaalcaribe ,2022-05-01 23:08:14+00:00
65,1520902718839263232,si alguien más le he pedido prestado  gracias por el aporte a la campaña 😂 ,2022-05-01 23:07:19+00:00
66,1520900150050312193,_    👏,2022-05-01 22:57:07+00:00
67,1520897539918254086,mi compromiso con arjona es claro: vamos a hacer que este municipio pdet reciba los recursos que merece para hacer realidad el acuerdo de paz  bolívar necesita materializar la paz desde las regiones y conmigo como presidente lo lograremos  lavueltaalcaribe  ,2022-05-01 22:46:45+00:00
68,1520883568179924994,dos cosas de esa foto  el microperforado y la evidencia de ser ciclista 💪,2022-05-01 21:51:13+00:00
69,1520834089372336130,_col gracias bernardo  la inversión en ciencia y tecnología es una apuesta necesaria para salir del atraso  saludos 💪,2022-05-01 18:34:37+00:00
70,1520833864561741824,el cariño y las sonrisas de la gente en el carmen de bolívar  colombiacambiará lavueltaalcaribe ,2022-05-01 18:33:43+00:00
71,1520832476322619392,desde esta tierra resiliente que ha sido víctima de la violencia  reafirmo mi compromiso con la implementación del acuerdo de paz  con educación y oportunidades vamos a comenzar el capítulo de la esperanza en el carmen de bolívar  lavueltaalcaribe  ,2022-05-01 18:28:12+00:00
72,1520826509094801408,entre 2022 y 2026 vamos a crear 1 5 millones de empleos dignos  desde el sector público cerca de 440 mil con grandes proyectos de infraestructura y sociales que prioricen la mano de obra no calificada  mujeres  jóvenes y comunidades étnicas ,2022-05-01 18:04:30+00:00
73,1520826506745991168,hoy recordamos la lucha por generar condiciones dignas de trabajo  respaldamos los intereses y derechos de los trabajadores  del cumplimiento de las garantías laborales y el crucial cierre de brechas entre hombres y mujeres ,2022-05-01 18:04:29+00:00
74,1520826502178385921,“soy orgullosa de ser artesana”  me dijo doña edilsa hoy en galapa  atlán  en colombia  todos deberíamos sentirnos orgullosos de nuestro oficio  díadeltrabajador ,2022-05-01 18:04:28+00:00
75,1520820990040846336,💚👏,2022-05-01 17:42:34+00:00
76,1520806208944451586,la cultura y el talento atlanticense tienen en galapa un gran potencial  con cultura y educación vamos a transformar a colombia y a sacar lo mejor de la gente para dinamizar la economía y el conocimiento  lavueltaalcaribe ,2022-05-01 16:43:50+00:00
77,1520805103296565250,y siempre con mango en mano 💪,2022-05-01 16:39:26+00:00
78,1520783196153122816,_ en atlán  a 30 minutos de barranquilla  toda una joya ,2022-05-01 15:12:23+00:00
79,1520783068646322177,colombia tiene todo para ser una potencia cultural  a la economía naranja le quedó grande aprovechar el potencial nacional  colombiacambiará ,2022-05-01 15:11:53+00:00
80,1520781591605387264,¿sabían que en galapa se fabrica el 70% de las máscaras del carnaval de barranquilla? hoy 1 de mayo la mejor forma de conmemorar a l trabajadores es comprometernos con un cambio de modelo productivo que apoye a las comunidades para producir local  consumir local y exportar  ,2022-05-01 15:06:00+00:00
81,1520766354005147651,¡tercer día de lavueltaalcaribe! llegamos a galapa  en el atlán  y luego seguimos al carmen de bolívar  arjona y turbaco  en bolívar  ¡seguimos pedaleando! lo que nos sobra es energía  💪🏽🇨🇴  ,2022-05-01 14:05:27+00:00
82,1520763156284518401,"siempre he aceptado los resultados de las encuestas  así tuviera algunas dudas  pero hoy tengo que decir: ""algo huele mal""  es peligroso lo que está ocurriendo porque las utilizan para influir en la opinión y desvirtuar el sentido de la competencia política  alarmas prendidas  ",2022-05-01 13:52:45+00:00
83,1520749711468244996,feliz cumpleaños querido   ha sido un gusto poder compartir estas semanas con un hombre de tu integridad y energía que irradia esperanza en todos los lugares a los que llega  ,2022-05-01 12:59:20+00:00
84,1520591745695821826,en mi gobierno habrá agua en santa marta  no más clanes polís que se roban la plata del agua de los samarios  lavueltaalcaribe  ,2022-05-01 02:31:38+00:00
85,1520579007363878914,en nuestro gobierno la protección de la riqueza natural y los ecosistemas serán fuente oportunidades  colombia cambiará con una política medioambiental seria y decidida  no más promesas incumplidas  loprogramáespolí,2022-05-01 01:41:01+00:00
86,1520579004444680196,implementaremos el plan nacional de zonificación ambiental para orientar la inversión pública y el desarrollo productivo  e implementaremos al 100 % el catastro multipropósito  trabajando con las comunidades permanentemente ,2022-05-01 01:41:00+00:00
87,1520579001500196866,el 7 de agosto comienza el gran programa de educación ambiental para que toda colombia conozca la riqueza de nuestra biodiversidad y haya una apropiación social de los bosques  valorándolos y repensando cómo acoplar el uso que las comunidades le dan al suelo con la protección ,2022-05-01 01:40:59+00:00
88,1520579000283893762,detrás de la deforestación están las bandas criminales  perseguiremos las cabezas de esta actividad criminal y no solamente judicializar los eslabones más débiles: recuperaremos la tierra de esas estructuras ,2022-05-01 01:40:59+00:00
89,1520578998773895170,estamos perdiendo bosques frente a nuestros ojos  vemos en tiempo real cómo avanza la deforestación  vamos a atacar este problema de manera contundente  reduciremos deforestación en 50% a 2026 para llevarla a cero a 2030  además  restauraremos -al menos- 1 millón de hectáreas ,2022-05-01 01:40:58+00:00
90,1520578995284320256,tenemos las mejores propuestas  seguimos mostrando que acá está el cambio que merece colombia  hoy  mi amigo y fórmula vicepresidencial    quien conoce y entiende los retos ambientales como pocos  nos cuenta qué haremos con la deforestación  loprogramáespolí ,2022-05-01 01:40:58+00:00
91,1520574041224007686,miles de familias barranquilleras no tienen 3 comidas al día  la corrupción genera pobreza que se traduce en hambre  ¡esto tiene que parar! lavueltaalcaribe ,2022-05-01 01:21:16+00:00
92,1520565400618029058,barranquilla y el caribe no van a aceptar más esa frase “que roben pero que hagan”  ¡no! no vamos a permitir más robos  porque cada vez que los corruptos roban nos están arrodillando  lavueltaalcaribe ,2022-05-01 00:46:56+00:00
93,1520564509697581056,_chap yo también haré todo  gracias maría camila  💜💚,2022-05-01 00:43:24+00:00
94,1520564395386023939,_chap 💪💜,2022-05-01 00:42:57+00:00
95,1520551053044985856,“nadie que escoge hacer la guerra y abandonar a las regiones a su suerte  merece una segunda oportunidad para el continuismo”   desde barranquilla  lavueltaalcaribe ,2022-04-30 23:49:56+00:00
96,1520542881550946304,no solo rompen sino que literalmente desaparecen una de nuestras vallas en medellín y las autoridades no responden   debe dar garantías a todos los candidatos por igual  ¿qué están haciendo para esclarecer esto? ,2022-04-30 23:17:27+00:00
97,1520538101864665093,no todo vale  en las urnas colombia lo reafirmará ,2022-04-30 22:58:28+00:00
98,1520535974077509634,_lara_ rodrigo lara bonilla sigue siendo uno de los más importantes y significativos colombianos en la lucha contra la corrupción  un abrazo solidario para ti rodrigo y toda tu familia ,2022-04-30 22:50:01+00:00
99,1520523925150744577,vamos a darle con toda la fuerza este mes  tenemos la convicción de tener el mejor equipo y la mejor propuesta para el país  ¡no olviden que si algo sabe un hincha del _oficial es aguantar! 💪🏽❤️💙 ,2022-04-30 22:02:08+00:00
100,1520514717156003841,🤓😎🥸 para ver bien y elegir bien 👍,2022-04-30 21:25:33+00:00
101,1520509821761507336,en soledad me tomé el micrófono para hablar de propuestas  las personas mayores de 65 años en el atlán y colombia que no tengan pensión  recibirán en nuestro gobierno $500 000  vamos a dignificar a los adultos mayores  lavueltaalcaribe ,2022-04-30 21:06:05+00:00
102,1520499715883900928,rendirse munca es opción  la remontada va  ,2022-04-30 20:25:56+00:00
103,1520494999745531905,¡y llegamos a soledad! lavueltaalcaribe 🎉 ,2022-04-30 20:07:12+00:00
104,1520477206652370944,vamos a derrotar a la corrupción que deja a niñas y niños sin estudio y con hambre  la niñez de colombia merece tener alegría y oportunidades  díadelaniñez ,2022-04-30 18:56:29+00:00
