id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
547|1524236748733169665|@quinterocalle petro chiquito   actúa exactamente igual que su dios petro   para que comete delitos y después no quiere asumir sus consecuencias?|1511052572488052738||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:34+00:00
548|1524236744769642498|@cecilialopezm @veronic20256036 @ivanduque @quinterocalle #sosnarcodictadurauribista#marranadas🆘🇨🇴🐽☠️ #golpedeestadoenmedellin#procuradoraabusadoraygolpista|1401924141377363970||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:33+00:00
549|1524236744681529345|@fernanmartinez @luchoguarin 🔥la orden del capo es incendiar la ciudad 🔥la loca mk del tal @quinterocalle|283667226||{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:33+00:00
550|1524236744438263808|@carlosjbuitragq @quinterocalle no eso es el cambio que se avecina pelmazo |3041824643||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:33+00:00
551|1524236742290821120|@quinterocalle asi es alcalde  mas de 1000 alcaldes partuciparon en politica en cartagena con el chirrete guassonfico  con ofrecimiento de votos inclusive  la guacamaya de la procuradora no emputó ni se inmutó  es evidente el sesgo contra los nadies q estamos mamados de la corrupcion y crimen |1488665515||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:32+00:00
552|1524236737341440000|@caracolradio @sergio_fajardo @quinterocalle @wradiocolombia partida de carechimbas|1271249551744172033|{'place_id': '003e8dd829ba75f4'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:31+00:00
553|1524236737328955392|@14llaita91 @quinterocalle que hace que quintero sea un dictador?|1031385332850339846||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:31+00:00
554|1524236732643827712|@leomorello21 @quinterocalle de cual pueblo por q yo apoyo a daniel de cual pueblo hablas de la gente de bien con armas o cuál pueblo|1264015605390327814||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:30+00:00
555|1524236732526469121|@soysiendo @ledamejia21 @danielbricen @quinterocalle el alcalde de medellín ha estado participando indebidamente en política desde que se posesionó  a él no lo suspenden solo por el video  ninguna investigación de procuraduria se hace en 12 horas |778370936||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:30+00:00
556|1524236732069261314|@cabejaranobco @quinterocalle presidente de colombia 2026-2030|3035344011||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:30+00:00
